rdfType,label,brand,model,serialNumber,inServiceDate,dateOfPurchase,dateOfLastCalibration,personInCharge
http://www.opensilex.org/vocabulary/oeso#CupAnemometer,wcwsm0001,Cimel,NA,CES155,2011-01-01,NA,2017-01-01,chapuis@supagro.inra.fr
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,400,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,401,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,402,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,403,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,404,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,405,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,406,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,407,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,408,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,409,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a11_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,410,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a12_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,411,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a13_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,412,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a14_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,413,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a15_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,414,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a16_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,415,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a17_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,416,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a18_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,417,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
http://www.opensilex.org/vocabulary/oeso#SensingDevice,a19_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,418,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org
