Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973359402 43.61321499, 3.973389651 43.61319639, 3.973437651 43.6132376, 3.973407402 43.6132562, 3.973359402 43.61321499));;Maize;iPG310;WW;1
2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973389651 43.61319639, 3.9734199 43.61317779, 3.973467901 43.61321899, 3.973437651 43.6132376, 3.973389651 43.61319639));;Maize;iPG152;WW;1
3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9734199 43.61317779, 3.973450149 43.61315919, 3.97349815 43.61320039, 3.973467901 43.61321899, 3.9734199 43.61317779));;Maize;iPG228;WW;1
4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973450149 43.61315919, 3.973480399 43.61314058, 3.973528399 43.61318179, 3.97349815 43.61320039, 3.973450149 43.61315919));;Maize;iPG318;WW;1
5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973480399 43.61314058, 3.973510648 43.61312198, 3.973558649 43.61316319, 3.973528399 43.61318179, 3.973480399 43.61314058));;Maize;iPG119;WW;1
6/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973510648 43.61312198, 3.973540897 43.61310338, 3.973588898 43.61314459, 3.973558649 43.61316319, 3.973510648 43.61312198));;Maize;DKC4590;WW;1
7/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973540897 43.61310338, 3.973571147 43.61308478, 3.973619147 43.61312599, 3.973588898 43.61314459, 3.973540897 43.61310338));;Maize;DKC4590;WW;1
8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973571147 43.61308478, 3.973601396 43.61306618, 3.973649396 43.61310739, 3.973619147 43.61312599, 3.973571147 43.61308478));;Maize;iPG007;WW;1
9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973601396 43.61306618, 3.973631645 43.61304758, 3.973679645 43.61308879, 3.973649396 43.61310739, 3.973601396 43.61306618));;Maize;iPG109;WW;1
10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973631645 43.61304758, 3.973661894 43.61302898, 3.973709895 43.61307019, 3.973679645 43.61308879, 3.973631645 43.61304758));;Maize;iPG216;WW;1
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973661894 43.61302898, 3.973692143 43.61301038, 3.973740144 43.61305159, 3.973709895 43.61307019, 3.973661894 43.61302898));;Maize;iPG136;WW;1
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973692143 43.61301038, 3.973722392 43.61299178, 3.973770393 43.61303299, 3.973740144 43.61305159, 3.973692143 43.61301038));;Maize;iPG073;WW;1
13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973722392 43.61299178, 3.973752641 43.61297318, 3.973800642 43.61301439, 3.973770393 43.61303299, 3.973722392 43.61299178));;Maize;iPG131;WW;1
14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973674392 43.61295057, 3.973704641 43.61293197, 3.973752641 43.61297318, 3.973722392 43.61299178, 3.973674392 43.61295057));;Maize;iPG121;WW;1
15/DZ_PG_54/ZM4346/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973644143 43.61296917, 3.973674392 43.61295057, 3.973722392 43.61299178, 3.973692143 43.61301038, 3.973644143 43.61296917));;Maize;iPG116;WW;1
16/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973613894 43.61298777, 3.973644143 43.61296917, 3.973692143 43.61301038, 3.973661894 43.61302898, 3.973613894 43.61298777));;Maize;iPG303;WW;1
17/DZ_PG_37/ZM4364/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973583644 43.61300637, 3.973613894 43.61298777, 3.973661894 43.61302898, 3.973631645 43.61304758, 3.973583644 43.61300637));;Maize;iPG167;WW;1
18/DZ_PG_53/ZM4345/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973553395 43.61302497, 3.973583644 43.61300637, 3.973631645 43.61304758, 3.973601396 43.61306618, 3.973553395 43.61302497));;Maize;iPG190;WW;1
19/DZ_PG_69/ZM4396/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973523146 43.61304357, 3.973553395 43.61302497, 3.973601396 43.61306618, 3.973571147 43.61308478, 3.973523146 43.61304357));;Maize;iPG312;WW;1
20/DKC4590/XXXX/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973492897 43.61306217, 3.973523146 43.61304357, 3.973571147 43.61308478, 3.973540897 43.61310338, 3.973492897 43.61306217));;Maize;DKC4590;WW;1
21/DZ_PG_26/ZM4387/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973462648 43.61308078, 3.973492897 43.61306217, 3.973540897 43.61310338, 3.973510648 43.61312198, 3.973462648 43.61308078));;Maize;iPG138;WW;1
22/DZ_PG_50/ZM4363/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973432398 43.61309938, 3.973462648 43.61308078, 3.973510648 43.61312198, 3.973480399 43.61314058, 3.973432398 43.61309938));;Maize;iPG233;WW;1
23/DZ_PG_08/ZM4343/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973402149 43.61311798, 3.973432398 43.61309938, 3.973480399 43.61314058, 3.973450149 43.61315919, 3.973402149 43.61311798));;Maize;iPG063;WW;1
24/DZ_PG_19/ZM4367/WW/1/DIA2017-05-19;Plot;;Polygon ((3.9733719 43.61313658, 3.973402149 43.61311798, 3.973450149 43.61315919, 3.9734199 43.61317779, 3.9733719 43.61313658));;Maize;iPG117;WW;1
25/DZ_PG_51/ZM4350/WW/1/DIA2017-05-19;Plot;;Polygon ((3.97334165 43.61315518, 3.9733719 43.61313658, 3.9734199 43.61317779, 3.973389651 43.61319639, 3.97334165 43.61315518));;Maize;iPG234;WW;1
26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973311401 43.61317378, 3.97334165 43.61315518, 3.973389651 43.61319639, 3.973359402 43.61321499, 3.973311401 43.61317378));;Maize;iPG082;WW;1
27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973263401 43.61313257, 3.97329365 43.61311397, 3.97334165 43.61315518, 3.973311401 43.61317378, 3.973263401 43.61313257));;Maize;iPG313;WW;1
