Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition
1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WW,1
2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG152,WW,1
3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG228,WW,1
4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG318,WW,1
5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG119,WW,1
6/DKC4590/XXXX/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WW,1
7/DKC4590/XXXX/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WW,1
8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG007,WW,1
9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG109,WW,1
10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG216,WW,1
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG136,WW,1
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG073,WW,1
13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG131,WW,1
14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG121,WW,1
15/DZ_PG_54/ZM4346/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG116,WW,1
16/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WW,1
17/DZ_PG_37/ZM4364/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG167,WW,1
18/DZ_PG_53/ZM4345/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG190,WW,1
19/DZ_PG_69/ZM4396/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WW,1
20/DKC4590/XXXX/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WW,1
21/DZ_PG_26/ZM4387/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG138,WW,1
22/DZ_PG_50/ZM4363/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG233,WW,1
23/DZ_PG_08/ZM4343/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG063,WW,1
24/DZ_PG_19/ZM4367/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG117,WW,1
25/DZ_PG_51/ZM4350/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG234,WW,1
26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG082,WW,1
27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG313,WW,1
28/DZ_PG_72/ZM4398/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG314,WW,1
29/DZ_PG_47/ZM4362/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG202,WW,1
30/DZ_PG_04/ZM4366/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG321,WW,1
31/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WW,1
32/DZ_PG_03/ZM4377/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG017,WW,1
33/DZ_PG_40/ZM4390/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG176,WW,1
34/DZ_PG_14/ZM4375/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG101,WW,1
35/DZ_PG_33/ZM4353/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG158,WW,1
36/DZ_PG_17/ZM4348/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG110,WW,1
37/DZ_PG_43/ZM4380/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG188,WW,1
38/DZ_PG_21/ZM4360/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG120,WW,1
39/DZ_PG_23/ZM4388/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG128,WW,1
40/DZ_PG_09/ZM4368/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG066,WW,1
41/DZ_PG_01/ZM4381/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG004,WW,1
42/DZ_PG_68/ZM4395/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG311,WW,1
43/DZ_PG_39/ZM4371/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG173,WW,1
