,rdfType,label,brand,model,serialNumber,inServiceDate,dateOfPurchase,dateOfLastCalibration,personInCharge,URI
0,http://www.opensilex.org/vocabulary/oeso#CupAnemometer,wcwsm0001,Cimel,,CES155,2011-01-01,,2017-01-01,chapuis@supagro.inra.fr,test/instal mntpel/2020/data/06d606d91ef10af99f0c5145a6e26c1095cd8e2af5d454939e889a79
1,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,400,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/f52a5273ecad1d15067d916530e373dd8a10c091617d180a9d49a3e5
2,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,401,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/7290723c6a4f9f6ee2bc312ed8f99c8f02c348ffd6cc0a4dc4208597
3,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,402,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/78a7cfe8308adc2577b958b3ba8097544ea2ed789fb49948ec3f17b4
4,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,403,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/ecbefbcc8eebc9d8d39948dfafb40c6d325df4f178cf142476a82f6a
5,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,404,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/a87407d06225dbd14e5ce3f89f6f88edc2e982c5765e79a4e87e28b1
6,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,405,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/cdee069473f53f7e9dac39cdf05a799a890b6bad7cdb1783bb2ff75b
7,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,406,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/72f0afed5b1aec1010bef4ce23d37bf7f50c85b5f434ebdba5baffef
8,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,407,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/4dd346a53ef8f4eca9907be16772a538159dcbef938bafeb2a098e14
9,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,408,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/6134738b13440c777180c340a60fcebd149bc0e30d3a8add380db597
