,rdfType,label,brand,model,serialNumber,inServiceDate,dateOfPurchase,dateOfLastCalibration,personInCharge,URI
0,http://www.opensilex.org/vocabulary/oeso#CupAnemometer,wcwsm0001,Cimel,,CES155,2011-01-01,,2017-01-01,chapuis@supagro.inra.fr,test/your installation/id/event/2020/6c536d82a66660ac3b168389e36ba0a5148a2ec53a1795b3c94bc63e
1,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,400,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/516c31a61b66c1bed96976b9a7d74aec563c133808fd80b7c1e1d733
2,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,401,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/00e9b3aab7f4f220053c5e0aa9f6b53335f4b0f62308f6234ea63f27
3,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,402,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/a0662e44f8f350b0eeee2b822b9a29918bfb34591965fcc07cc34fde
4,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,403,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/ae5b0d2c5935d13ecef5406c2d86b4c9ad8804bbe51e80f24d9e9383
5,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,404,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/eb7d713fa745122aae1a84de0c28e25242855c46eb797e7746ac3557
6,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,405,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/62947374559b1f2fa1c50d6da9864d1a1c2ac1bdcb81026b39d3bb28
7,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,406,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/683faf6128bbf4c6f2faa1a65899006786be98f7df7d011183f2bd6e
8,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,407,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/fc6983aa1cbf89374cb66d3f27e5f2206e749814b85ed5ce12e63ba9
9,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,408,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/your installation/id/event/2020/276a8a148e11889439bb32d60c05fbc24f8269bed95ba89a5155e6d7
