,Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition,URI
0,1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG310,WW,1,frfrfr/trtrtr/2020/essai1/pt20000391
1,2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG152,WW,1,frfrfr/trtrtr/2020/essai1/pt20000392
2,3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG228,WW,1,frfrfr/trtrtr/2020/essai1/pt20000393
3,4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG318,WW,1,frfrfr/trtrtr/2020/essai1/pt20000394
4,5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG119,WW,1,frfrfr/trtrtr/2020/essai1/pt20000395
5,6/DKC4590/XXXX/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,DKC4590,WW,1,frfrfr/trtrtr/2020/essai1/pt20000396
6,7/DKC4590/XXXX/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,DKC4590,WW,1,frfrfr/trtrtr/2020/essai1/pt20000397
7,8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG007,WW,1,frfrfr/trtrtr/2020/essai1/pt20000398
8,9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG109,WW,1,frfrfr/trtrtr/2020/essai1/pt20000399
9,10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG216,WW,1,frfrfr/trtrtr/2020/essai1/pt20000400
10,11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG136,WW,1,frfrfr/trtrtr/2020/essai1/pt20000401
11,12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG073,WW,1,frfrfr/trtrtr/2020/essai1/pt20000402
12,13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG131,WW,1,frfrfr/trtrtr/2020/essai1/pt20000403
13,14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG121,WW,1,frfrfr/trtrtr/2020/essai1/pt20000404
14,15/DZ_PG_54/ZM4346/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG116,WW,1,frfrfr/trtrtr/2020/essai1/pt20000405
15,16/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG303,WW,1,frfrfr/trtrtr/2020/essai1/pt20000406
16,17/DZ_PG_37/ZM4364/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG167,WW,1,frfrfr/trtrtr/2020/essai1/pt20000407
17,18/DZ_PG_53/ZM4345/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG190,WW,1,frfrfr/trtrtr/2020/essai1/pt20000408
18,19/DZ_PG_69/ZM4396/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG312,WW,1,frfrfr/trtrtr/2020/essai1/pt20000409
19,20/DKC4590/XXXX/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,DKC4590,WW,1,frfrfr/trtrtr/2020/essai1/pt20000410
20,21/DZ_PG_26/ZM4387/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG138,WW,1,frfrfr/trtrtr/2020/essai1/pt20000411
21,22/DZ_PG_50/ZM4363/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG233,WW,1,frfrfr/trtrtr/2020/essai1/pt20000412
22,23/DZ_PG_08/ZM4343/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG063,WW,1,frfrfr/trtrtr/2020/essai1/pt20000413
23,24/DZ_PG_19/ZM4367/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG117,WW,1,frfrfr/trtrtr/2020/essai1/pt20000414
24,25/DZ_PG_51/ZM4350/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG234,WW,1,frfrfr/trtrtr/2020/essai1/pt20000415
25,26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG082,WW,1,frfrfr/trtrtr/2020/essai1/pt20000416
26,27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG313,WW,1,frfrfr/trtrtr/2020/essai1/pt20000417
27,28/DZ_PG_72/ZM4398/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG314,WW,1,frfrfr/trtrtr/2020/essai1/pt20000418
28,29/DZ_PG_47/ZM4362/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG202,WW,1,frfrfr/trtrtr/2020/essai1/pt20000419
29,30/DZ_PG_04/ZM4366/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG321,WW,1,frfrfr/trtrtr/2020/essai1/pt20000420
30,31/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG303,WW,1,frfrfr/trtrtr/2020/essai1/pt20000421
31,32/DZ_PG_03/ZM4377/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG017,WW,1,frfrfr/trtrtr/2020/essai1/pt20000422
32,33/DZ_PG_40/ZM4390/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG176,WW,1,frfrfr/trtrtr/2020/essai1/pt20000423
33,34/DZ_PG_14/ZM4375/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG101,WW,1,frfrfr/trtrtr/2020/essai1/pt20000424
34,35/DZ_PG_33/ZM4353/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG158,WW,1,frfrfr/trtrtr/2020/essai1/pt20000425
35,36/DZ_PG_17/ZM4348/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG110,WW,1,frfrfr/trtrtr/2020/essai1/pt20000426
36,37/DZ_PG_43/ZM4380/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG188,WW,1,frfrfr/trtrtr/2020/essai1/pt20000427
37,38/DZ_PG_21/ZM4360/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG120,WW,1,frfrfr/trtrtr/2020/essai1/pt20000428
38,39/DZ_PG_23/ZM4388/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG128,WW,1,frfrfr/trtrtr/2020/essai1/pt20000429
39,40/DZ_PG_09/ZM4368/WW/1/DIA2017-05-19,Plot,DIA2017,Maize,iPG066,WW,1,frfrfr/trtrtr/2020/essai1/pt20000430
