,rdfType,label,brand,model,serialNumber,inServiceDate,dateOfPurchase,dateOfLastCalibration,personInCharge,URI
0,http://www.opensilex.org/vocabulary/oeso#CupAnemometer,wcwsm0001,Cimel,,CES155,2011-01-01,,2017-01-01,chapuis@supagro.inra.fr,asm/your installation/2020/data/0334eec4a00b1fbc7fcf4225707609c926a23a8c77b4def29fd71006
1,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,400,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/992bbcd713dfaf68933e17a308ed87e811494ed7c03378aab717abb3
2,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,401,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/7f4d606d00f45f719fb71fe8fab993471c0beeb307fedc11a860e010
3,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,402,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/894e9be77f764e5e6a970b1c65e9a1444361b4b308f9bebe3569dbfe
4,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,403,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/a47b7deeb5dbd145db64e05ddae58cc731239e30066ce83287bc3898
5,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,404,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/20483e062066e51dfe195d2d0f271552a7a9c00aa35b189f51da74a6
6,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,405,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/58338e9936d8f37800c5020971bb60c04d7602251c4db8c78a225a10
7,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,406,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/a59605a27f0cb6efbd1a92a93977137e3527db8baebf6a3ee4570fda
8,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,407,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/a4b0dabfb5b402f7f1be98889e0fab185c7d9eb2d1b1ec3d9305627b
9,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,408,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/bdc405877acb1e9b0c15aa8ba42249e545e0336aae389f63637b48b1
10,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,409,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/cbd26effdb172871027a03bee2ccbb971840f8a790cbb3d8834058d1
11,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a11_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,410,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/5316efdf98e9b0d6aa3dca703d680db56c080e20294a9462d6cfce90
12,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a12_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,411,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/0015055d10f617455cccb090d81b64595e22190af3c763048fe5e53d
13,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a13_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,412,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/2d736d0a5895b8b03cf2a1262925b58b3d2cbefd97813cf7dcfc2cdb
14,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a14_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,413,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/b5134299c20ab3a0676ddcdcb8c3feed80058279c3b5f949bd7dfa3b
15,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a15_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,414,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/8984293228b63f37a6c0b83e832b28fdbe6d8ba5572a678df9a94b87
16,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a16_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,415,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/6edf8ef77db767c9c9d89c00596f99b11b0217b5151547b1f1870471
17,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a17_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,416,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/192799808b842a8c92e279957e3d0d08c16935e86f0c54f2f9dcc280
18,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a18_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,417,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/7052a6177e32a37a2afe962ae2cbdeb9f66b732dd2728ff4b72b6c70
19,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a19_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,418,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/be0d95758f8454f79c3ee44ce1770d971e8c3d4a7841b1783a9d9d7f
20,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a20_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,419,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/2336fe9cc4353d58ceae17f820ccd0f79559be1e0c1c42e163fb0610
21,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a21_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,420,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/data/c1b8144ee1a30244a571c3d9b48b2c394a7489065d2565968f521645
22,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,607,2012-03-01,2012-03-01,,guest@opensilex.org,asm/your installation/2020/data/388c5565f59627f4a4063ac770173bbcdee14a0a2171eeef9b1263f1
23,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,608,2012-03-01,2012-03-01,,guest@opensilex.org,asm/your installation/2020/data/1123c599095afde714bd13b6457c482f77fa64a4fe988e2b3eb57750
24,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,609,2012-03-01,2012-03-01,,guest@opensilex.org,asm/your installation/2020/data/ddf0ecc76258e63722d4d9d1085657d0ad5ecf1ab8f50fa7a0476d21
25,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,610,2012-03-01,2012-03-01,,guest@opensilex.org,asm/your installation/2020/data/02314c59fc70bb1b1966d09aaaac689d8eae40c63bafb3f4cde3781d
26,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,611,2012-03-01,2012-03-01,,guest@opensilex.org,asm/your installation/2020/data/146aa91f5f89945b56b0db5231927b40ce2181d70429194e33fb3214
27,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,612,2012-03-01,2012-03-01,,guest@opensilex.org,asm/your installation/2020/data/4cb1ed3415117cc2eb3cf428209202a81dd9024da96f8e4f12e7042c
28,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,613,2012-03-01,2012-03-01,,guest@opensilex.org,asm/your installation/2020/data/5ff4495d09ba5579ac7aa536d3e1f9d95615c58fd2a75ee865940b74
