,Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition,Related_plant,URI
0,1/DZ_PG_67/ZM4394/E1,Ear,DIA2017,Maize,iPG310,WW,1,1/DZ_PG_67/ZM4394,asm/your installation/2020/aProject/1/DZ_PG_67/ZM4394/ea20000026
1,1/DZ_PG_67/ZM4394/E2,Ear,DIA2017,Maize,iPG152,WW,1,1/DZ_PG_67/ZM4394,asm/your installation/2020/aProject/1/DZ_PG_67/ZM4394/ea20000027
2,1/DZ_PG_67/ZM4394/E3,Ear,DIA2017,Maize,iPG228,WW,1,1/DZ_PG_67/ZM4394,asm/your installation/2020/aProject/1/DZ_PG_67/ZM4394/ea20000028
3,4/DZ_PG_66/ZM4391/E1,Ear,DIA2017,Maize,iPG318,WW,1,4/DZ_PG_66/ZM4391,asm/your installation/2020/aProject/4/DZ_PG_66/ZM4391/ea20000029
4,4/DZ_PG_66/ZM4391/E2,Ear,DIA2017,Maize,iPG119,WW,1,4/DZ_PG_66/ZM4391,asm/your installation/2020/aProject/4/DZ_PG_66/ZM4391/ea20000030
5,4/DZ_PG_66/ZM4391/E3,Ear,DIA2017,Maize,DKC4590,WW,1,4/DZ_PG_66/ZM4391,asm/your installation/2020/aProject/4/DZ_PG_66/ZM4391/ea20000031
6,4/DZ_PG_66/ZM4391/E4,Ear,DIA2017,Maize,DKC4590,WW,1,4/DZ_PG_66/ZM4391,asm/your installation/2020/aProject/4/DZ_PG_66/ZM4391/ea20000032
7,8/DZ_PG_02/ZM4356/E1,Ear,DIA2017,Maize,iPG007,WW,1,8/DZ_PG_02/ZM4356,asm/your installation/2020/aProject/8/DZ_PG_02/ZM4356/ea20000033
8,8/DZ_PG_02/ZM4356/E2,Ear,DIA2017,Maize,iPG109,WW,1,8/DZ_PG_02/ZM4356,asm/your installation/2020/aProject/8/DZ_PG_02/ZM4356/ea20000034
9,8/DZ_PG_02/ZM4356/E3,Ear,DIA2017,Maize,iPG216,WW,1,8/DZ_PG_02/ZM4356,asm/your installation/2020/aProject/8/DZ_PG_02/ZM4356/ea20000035
10,11/DZ_PG_25/ZM4382/E1,Ear,DIA2017,Maize,iPG136,WW,1,11/DZ_PG_25/ZM438,asm/your installation/2020/aProject/11/DZ_PG_25/ZM438/ea20000036
11,11/DZ_PG_25/ZM4382/E2,Ear,DIA2017,Maize,iPG073,WW,1,11/DZ_PG_25/ZM438,asm/your installation/2020/aProject/11/DZ_PG_25/ZM438/ea20000037
12,11/DZ_PG_25/ZM4382/E3,Ear,DIA2017,Maize,iPG131,WW,1,11/DZ_PG_25/ZM438,asm/your installation/2020/aProject/11/DZ_PG_25/ZM438/ea20000038
13,14/DZ_PG_22/ZM4349/E1,Ear,DIA2017,Maize,iPG121,WW,1,14/DZ_PG_22/ZM434,asm/your installation/2020/aProject/14/DZ_PG_22/ZM434/ea20000039
14,14/DZ_PG_22/ZM4349/E2,Ear,DIA2017,Maize,iPG116,WW,1,14/DZ_PG_22/ZM434,asm/your installation/2020/aProject/14/DZ_PG_22/ZM434/ea20000040
15,14/DZ_PG_22/ZM4349/E3,Ear,DIA2017,Maize,iPG303,WW,1,14/DZ_PG_22/ZM434,asm/your installation/2020/aProject/14/DZ_PG_22/ZM434/ea20000041
16,17/DZ_PG_37/ZM4364/E1,Ear,DIA2017,Maize,iPG167,WW,1,17/DZ_PG_37/ZM436,asm/your installation/2020/aProject/17/DZ_PG_37/ZM436/ea20000042
17,17/DZ_PG_37/ZM4364/E2,Ear,DIA2017,Maize,iPG190,WW,1,17/DZ_PG_37/ZM436,asm/your installation/2020/aProject/17/DZ_PG_37/ZM436/ea20000043
18,17/DZ_PG_37/ZM4364/E3,Ear,DIA2017,Maize,iPG312,WW,1,17/DZ_PG_37/ZM436,asm/your installation/2020/aProject/17/DZ_PG_37/ZM436/ea20000044
19,17/DZ_PG_37/ZM4364/E4,Ear,DIA2017,Maize,DKC4590,WW,1,17/DZ_PG_37/ZM436,asm/your installation/2020/aProject/17/DZ_PG_37/ZM436/ea20000045
20,21/DZ_PG_26/ZM4387/E1,Ear,DIA2017,Maize,iPG138,WW,1,21/DZ_PG_26/ZM438,asm/your installation/2020/aProject/21/DZ_PG_26/ZM438/ea20000046
21,21/DZ_PG_26/ZM4387/E2,Ear,DIA2017,Maize,iPG233,WW,1,21/DZ_PG_26/ZM438,asm/your installation/2020/aProject/21/DZ_PG_26/ZM438/ea20000047
22,21/DZ_PG_26/ZM4387/E3,Ear,DIA2017,Maize,iPG063,WW,1,21/DZ_PG_26/ZM438,asm/your installation/2020/aProject/21/DZ_PG_26/ZM438/ea20000048
23,21/DZ_PG_26/ZM4387/E4,Ear,DIA2017,Maize,iPG117,WW,1,21/DZ_PG_26/ZM438,asm/your installation/2020/aProject/21/DZ_PG_26/ZM438/ea20000049
24,21/DZ_PG_26/ZM4387/E5,Ear,DIA2017,Maize,iPG234,WW,1,21/DZ_PG_26/ZM438,asm/your installation/2020/aProject/21/DZ_PG_26/ZM438/ea20000050
