,rdfType,label,brand,model,serialNumber,inServiceDate,dateOfPurchase,dateOfLastCalibration,personInCharge,URI
0,http://www.opensilex.org/vocabulary/oeso#CupAnemometer,wcwsm0001,Cimel,,CES155,2011-01-01,,2017-01-01,chapuis@supagro.inra.fr,asm/your installation/2020/image/29795667838b5a17a689b60480fb33be85c7ed120a88e799c6e303f5
1,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,400,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/17dcc03a44218ab702fa1b49ca253ba545792377772882b155486b5e
2,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,401,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/b8e965d21ef9c159e41e5cadb4e61b852a3eeb434b1d6643f8ed9965
3,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,402,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/0015055d10f617455cccb090d81b64595e22190af3c763048fe5e53d
4,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,403,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/617e82640ef8c91215e5a3a34b3d5194dd7b0e30d663386d282ae78a
5,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,404,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/3a75d8bc7ff5a681c1664cb207ecb0d47ce231095c7c628488daf5c6
6,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,405,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/a210f3351c013fe54d4d7d3ee0d33b76036c62324909b3ef458401c3
7,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,406,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/f0ef5d4592ab606e059053579d0bbfa3b58c2789bcf83487c7db70e6
8,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,407,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/bbfea9aaa3623392e88481a14041a34ee5caa0ff473406933a11344a
9,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,408,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/ba57a170150c2a91527b41b7c78576ab39edc10ef102e073e58ae410
10,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,409,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/c10da10b3942e9dfbb1e4ff0dc1126ce8107377b2130f899050badde
11,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a11_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,410,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/f193e8b0c6e8e436ed6fbff804917367733cddc04514d1865452f399
12,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a12_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,411,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/9eeec03365a61166a32b0ef700c531249d7cb5b8c46587846a3a56b3
13,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a13_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,412,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/364a544ec27f09244e7764c21389f3d5bcf2f5a90b5c2f4aac073e78
14,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a14_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,413,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/4c114b6f4815ef17ac519558ed4a98d4d89edcdf4786637fd4fef97a
15,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a15_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,414,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/31da1a042dc910775ed8b487afbdafd929a7afdeaadc660cb963bd26
16,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a16_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,415,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/17d06536e825975c91b07b2c2a6c350bf419075e9dfda75b194f6401
17,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a17_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,416,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/bbfc17885b8a5270240861bccd1b690dc6574cfaccd9f603e80e46ec
18,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a18_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,417,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/71ca799313d01182e792a4d0636815cb281ce574ec7fe5dc67065917
19,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a19_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,418,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/3cbf9912247e1fa998fcd936037bd2d758eea7c9a1e4d32530b3293b
20,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a20_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,419,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,asm/your installation/2020/image/6445480e2773d1b7cb4f8e3802a8958cfe6e7ed19ac29dcd09b28093
