,Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition,Related_plant,URI
0,1/DZ_PG_67/ZM4394/L1,Leaf,DIA2017,Maize,iPG310,WW,1,1/DZ_PG_67/ZM4394,test/m3p/2020/aProject/1/DZ_PG_67/ZM4394/lf20000001
1,1/DZ_PG_67/ZM4394/L2,Leaf,DIA2017,Maize,iPG152,WW,1,1/DZ_PG_67/ZM4394,test/m3p/2020/aProject/1/DZ_PG_67/ZM4394/lf20000002
2,1/DZ_PG_67/ZM4394/L3,Leaf,DIA2017,Maize,iPG228,WW,1,1/DZ_PG_67/ZM4394,test/m3p/2020/aProject/1/DZ_PG_67/ZM4394/lf20000003
3,4/DZ_PG_66/ZM4391/L1,Leaf,DIA2017,Maize,iPG318,WW,1,4/DZ_PG_66/ZM4391,test/m3p/2020/aProject/4/DZ_PG_66/ZM4391/lf20000004
4,4/DZ_PG_66/ZM4391/L2,Leaf,DIA2017,Maize,iPG119,WW,1,4/DZ_PG_66/ZM4391,test/m3p/2020/aProject/4/DZ_PG_66/ZM4391/lf20000005
5,4/DZ_PG_66/ZM4391/L3,Leaf,DIA2017,Maize,DKC4590,WW,1,4/DZ_PG_66/ZM4391,test/m3p/2020/aProject/4/DZ_PG_66/ZM4391/lf20000006
6,4/DZ_PG_66/ZM4391/L4,Leaf,DIA2017,Maize,DKC4590,WW,1,4/DZ_PG_66/ZM4391,test/m3p/2020/aProject/4/DZ_PG_66/ZM4391/lf20000007
7,8/DZ_PG_02/ZM4356/L1,Leaf,DIA2017,Maize,iPG007,WW,1,8/DZ_PG_02/ZM4356,test/m3p/2020/aProject/8/DZ_PG_02/ZM4356/lf20000008
8,8/DZ_PG_02/ZM4356/L2,Leaf,DIA2017,Maize,iPG109,WW,1,8/DZ_PG_02/ZM4356,test/m3p/2020/aProject/8/DZ_PG_02/ZM4356/lf20000009
9,8/DZ_PG_02/ZM4356/L3,Leaf,DIA2017,Maize,iPG216,WW,1,8/DZ_PG_02/ZM4356,test/m3p/2020/aProject/8/DZ_PG_02/ZM4356/lf20000010
10,11/DZ_PG_25/ZM4382/L1,Leaf,DIA2017,Maize,iPG136,WW,1,11/DZ_PG_25/ZM438,test/m3p/2020/aProject/11/DZ_PG_25/ZM438/lf20000011
11,11/DZ_PG_25/ZM4382/L2,Leaf,DIA2017,Maize,iPG073,WW,1,11/DZ_PG_25/ZM438,test/m3p/2020/aProject/11/DZ_PG_25/ZM438/lf20000012
12,11/DZ_PG_25/ZM4382/L3,Leaf,DIA2017,Maize,iPG131,WW,1,11/DZ_PG_25/ZM438,test/m3p/2020/aProject/11/DZ_PG_25/ZM438/lf20000013
13,14/DZ_PG_22/ZM4349/L1,Leaf,DIA2017,Maize,iPG121,WW,1,14/DZ_PG_22/ZM434,test/m3p/2020/aProject/14/DZ_PG_22/ZM434/lf20000014
14,14/DZ_PG_22/ZM4349/L2,Leaf,DIA2017,Maize,iPG116,WW,1,14/DZ_PG_22/ZM434,test/m3p/2020/aProject/14/DZ_PG_22/ZM434/lf20000015
15,14/DZ_PG_22/ZM4349/L3,Leaf,DIA2017,Maize,iPG303,WW,1,14/DZ_PG_22/ZM434,test/m3p/2020/aProject/14/DZ_PG_22/ZM434/lf20000016
16,17/DZ_PG_37/ZM4364/L1,Leaf,DIA2017,Maize,iPG167,WW,1,17/DZ_PG_37/ZM436,test/m3p/2020/aProject/17/DZ_PG_37/ZM436/lf20000017
17,17/DZ_PG_37/ZM4364/L2,Leaf,DIA2017,Maize,iPG190,WW,1,17/DZ_PG_37/ZM436,test/m3p/2020/aProject/17/DZ_PG_37/ZM436/lf20000018
18,17/DZ_PG_37/ZM4364/L3,Leaf,DIA2017,Maize,iPG312,WW,1,17/DZ_PG_37/ZM436,test/m3p/2020/aProject/17/DZ_PG_37/ZM436/lf20000019
19,17/DZ_PG_37/ZM4364/L4,Leaf,DIA2017,Maize,DKC4590,WW,1,17/DZ_PG_37/ZM436,test/m3p/2020/aProject/17/DZ_PG_37/ZM436/lf20000020
20,21/DZ_PG_26/ZM4387/L1,Leaf,DIA2017,Maize,iPG138,WW,1,21/DZ_PG_26/ZM438,test/m3p/2020/aProject/21/DZ_PG_26/ZM438/lf20000021
21,21/DZ_PG_26/ZM4387/L2,Leaf,DIA2017,Maize,iPG233,WW,1,21/DZ_PG_26/ZM438,test/m3p/2020/aProject/21/DZ_PG_26/ZM438/lf20000022
22,21/DZ_PG_26/ZM4387/L3,Leaf,DIA2017,Maize,iPG063,WW,1,21/DZ_PG_26/ZM438,test/m3p/2020/aProject/21/DZ_PG_26/ZM438/lf20000023
23,21/DZ_PG_26/ZM4387/L4,Leaf,DIA2017,Maize,iPG117,WW,1,21/DZ_PG_26/ZM438,test/m3p/2020/aProject/21/DZ_PG_26/ZM438/lf20000024
24,21/DZ_PG_26/ZM4387/L5,Leaf,DIA2017,Maize,iPG234,WW,1,21/DZ_PG_26/ZM438,test/m3p/2020/aProject/21/DZ_PG_26/ZM438/lf20000025
