,Alias,Type,Experiment,Geometry,Parent,Species,Variety,ExperimentModalities,Repetition,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,URI
0,1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973359402 43.61321499, 3.973389651 43.61319639, 3.973437651 43.6132376, 3.973407402 43.6132562, 3.973359402 43.61321499)),,Maize,iPG310,WW,1,jeaneudes/hollbe/2020/aProject/pl20000390
1,2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973389651 43.61319639, 3.9734199 43.61317779, 3.973467901 43.61321899, 3.973437651 43.6132376, 3.973389651 43.61319639)),,Maize,iPG152,WW,1,jeaneudes/hollbe/2020/aProject/pl20000391
2,3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19,Plot,,Polygon ((3.9734199 43.61317779, 3.973450149 43.61315919, 3.97349815 43.61320039, 3.973467901 43.61321899, 3.9734199 43.61317779)),,Maize,iPG228,WW,1,jeaneudes/hollbe/2020/aProject/pl20000392
3,4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973450149 43.61315919, 3.973480399 43.61314058, 3.973528399 43.61318179, 3.97349815 43.61320039, 3.973450149 43.61315919)),,Maize,iPG318,WW,1,jeaneudes/hollbe/2020/aProject/pl20000393
4,5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973480399 43.61314058, 3.973510648 43.61312198, 3.973558649 43.61316319, 3.973528399 43.61318179, 3.973480399 43.61314058)),,Maize,iPG119,WW,1,jeaneudes/hollbe/2020/aProject/pl20000394
5,6/DKC4590/XXXX/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973510648 43.61312198, 3.973540897 43.61310338, 3.973588898 43.61314459, 3.973558649 43.61316319, 3.973510648 43.61312198)),,Maize,DKC4590,WW,1,jeaneudes/hollbe/2020/aProject/pl20000395
6,7/DKC4590/XXXX/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973540897 43.61310338, 3.973571147 43.61308478, 3.973619147 43.61312599, 3.973588898 43.61314459, 3.973540897 43.61310338)),,Maize,DKC4590,WW,1,jeaneudes/hollbe/2020/aProject/pl20000396
7,8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973571147 43.61308478, 3.973601396 43.61306618, 3.973649396 43.61310739, 3.973619147 43.61312599, 3.973571147 43.61308478)),,Maize,iPG007,WW,1,jeaneudes/hollbe/2020/aProject/pl20000397
8,9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973601396 43.61306618, 3.973631645 43.61304758, 3.973679645 43.61308879, 3.973649396 43.61310739, 3.973601396 43.61306618)),,Maize,iPG109,WW,1,jeaneudes/hollbe/2020/aProject/pl20000398
9,10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973631645 43.61304758, 3.973661894 43.61302898, 3.973709895 43.61307019, 3.973679645 43.61308879, 3.973631645 43.61304758)),,Maize,iPG216,WW,1,jeaneudes/hollbe/2020/aProject/pl20000399
10,11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973661894 43.61302898, 3.973692143 43.61301038, 3.973740144 43.61305159, 3.973709895 43.61307019, 3.973661894 43.61302898)),,Maize,iPG136,WW,1,jeaneudes/hollbe/2020/aProject/pl20000400
11,12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973692143 43.61301038, 3.973722392 43.61299178, 3.973770393 43.61303299, 3.973740144 43.61305159, 3.973692143 43.61301038)),,Maize,iPG073,WW,1,jeaneudes/hollbe/2020/aProject/pl20000401
12,13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973722392 43.61299178, 3.973752641 43.61297318, 3.973800642 43.61301439, 3.973770393 43.61303299, 3.973722392 43.61299178)),,Maize,iPG131,WW,1,jeaneudes/hollbe/2020/aProject/pl20000402
13,14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19,Plot,,Polygon ((3.973674392 43.61295057, 3.973704641 43.61293197, 3.973752641 43.61297318, 3.973722392 43.61299178, 3.973674392 43.61295057)),,Maize,iPG121,WW,1,jeaneudes/hollbe/2020/aProject/pl20000403
